type,branch,count(userid),newclass
issue,1,18359,Fiction
issue,10,2968,Reference
issue,100,428,Reference
issue,11,3503,Reference
issue,12,2924,Reference
issue,13,3508,Reference
issue,143,7576,Reference
issue,15,108,Reference
issue,153,6430,Reference
issue,157,144,Junior Fiction
issue,16,498,Reference
issue,168,2225,Reference
issue,17,790,Reference
issue,18,1262,Reference
issue,181,32419,Reference
issue,186,328,Reference
issue,188,4771,Reference
issue,190,3847,Reference
issue,191,5152,Reference
issue,193,4586,Reference
issue,194,5265,Reference
issue,195,2175,Reference
issue,197,2917,Reference
issue,198,714,Junior Fiction
issue,199,1492,Reference
issue,20,2303,Reference
issue,201,66,Reference
issue,202,866,Reference
issue,203,1380,Junior Fiction
issue,211,1497,Reference
issue,22,3742,Reference
issue,221,53,Junior Fiction
issue,222,999,Reference
issue,223,14,Reference
issue,224,1101,Reference
issue,239,2324,Reference
issue,242,1,Fiction
issue,48,10508,Reference
issue,50,4958,Reference
issue,52,6696,Reference
issue,57,3507,Reference
issue,58,2491,Reference
issue,59,1501,Reference
issue,60,1118,Reference
issue,61,1285,Reference
issue,63,285,Reference
issue,64,397,Reference
issue,69,2822,Reference
issue,86,9151,Reference
issue,87,6704,Reference
issue,88,9582,Reference
issue,89,6030,Reference
issue,9,5003,Reference
issue,90,4347,Reference
issue,91,5074,Reference
issue,92,4620,Reference
issue,95,3219,Reference
issue,96,3920,Reference
issue,97,1231,Reference
issue,99,583,Reference
